tie_adjusted_rank,bmu_id,technology,plant_family,lead_party,registered_capacity_mw,marginal_occurrences,bid_weight,offer_weight,tie_adjusted_weight,share_all_sps_pct,bid_share_all_sps_pct,offer_share_all_sps_pct,dominant_side,dominant_side_share
284,E_RDSCR-1,DIESEL,E_RDSCR,Conrad Energy (Trading) Ltd,40.0,61,0.5,23.99448051948052,24.49448051948052,0.04832783623920866,0.000986504616841607,0.047341331622367054,Offer,0.9795872380472674
285,2__KSTAT001,BATTERY,2__KSTAT,Statkraft Markets Gmbh,8.0,38,4.055357142857143,20.074310776942355,24.1296679197995,0.04760805761147403,0.008001257088740318,0.039606800522733715,Offer,0.8319348133452953
286,T_DOREW-1,WIND,T_DOREW,Dorenell Windfarm Limited,156.92,34,24.0,0.0,24.0,0.047352221608397124,0.047352221608397124,0.0,Bid,1.0
287,T_NNGAO-2,WIND,T_NNGAO,Neart Na Gaoithe Offshore Wind,224.0,33,23.0,1.0,24.0,0.047352221608397124,0.045379212374713915,0.001973009233683214,Bid,0.9583333333333334
288,2__GSTAT003,BATTERY,2__GSTAT_B,Statkraft Markets Gmbh,20.0,51,0.0,23.776630679262258,23.776630679262258,0.04691151187606001,0.0,0.04691151187606001,Offer,1.0
289,2__PFLEX001,OTHER,2__PFLEX,Flexitricity Limited,49.0,48,10.867857142857142,12.885714285714286,23.753571428571426,0.04686601576152519,0.02144238249320721,0.025423633268317983,Offer,0.5424748158171704
290,2__NSTAT002,BATTERY,2__NSTAT_B,Statkraft Markets Gmbh,20.0,46,0.125,23.421703296703296,23.546703296703296,0.04645786302719457,0.0002466261542104017,0.04621123687298417,Offer,0.9946914012367285
291,T_SGRWO-4,WIND,T_SGRWO,Seagreen Wind Energy Limited,140.0,70,23.5,0.0,23.5,0.04636571699155552,0.04636571699155552,0.0,Bid,1.0
292,E_LCHWT-1,DIESEL,E_LCHWT,Conrad Energy (Trading) Ltd,15.0,38,1.1111111111111112,22.23932178932179,23.3504329004329,0.04607061972305441,0.0021922324818702374,0.04387838724118418,Offer,0.9524158239014698
293,V__NFLEX001,DSR,V__NFLEX,Flexitricity Limited,0.0,46,13.376190476190477,9.661904761904761,23.038095238095238,0.04545437463123518,0.026391347321029275,0.019063027310205906,Bid,0.5806118230673832
294,2__NSTAT001,BATTERY,2__NSTAT_B,Statkraft Markets Gmbh,20.0,54,1.125,21.601959151959154,22.726959151959154,0.04484050026035663,0.0022196353878936154,0.04262086487246301,Offer,0.9504993170235438
